LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
AUT,Austria,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
BEL,Belgium,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,62,,
CAN,Canada,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,73,,
CZE,Czech Republic,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
DNK,Denmark,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,75,,
FIN,Finland,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
FRA,France,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
DEU,Germany,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,75,,
GRC,Greece,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,52,,
HUN,Hungary,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,67,,
ISL,Iceland,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,86,,
IRL,Ireland,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
ITA,Italy,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,57,,
JPN,Japan,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,74,,
KOR,Korea,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,66,,
LUX,Luxembourg,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,66,,
MEX,Mexico,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,61,,
NLD,Netherlands,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,75,,
NZL,New Zealand,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,76,,
NOR,Norway,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,74,,
POL,Poland,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
PRT,Portugal,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
SVK,Slovak Republic,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
ESP,Spain,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,60,,
SWE,Sweden,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,76,,
CHE,Switzerland,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,80,,
TUR,Turkey,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,51,,
GBR,United Kingdom,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,74,,
USA,United States,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
BRA,Brazil,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,64,,
CHL,Chile,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,62,,
EST,Estonia,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
ISR,Israel,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
LVA,Latvia,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
RUS,Russia,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,70,,
SVN,Slovenia,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,66,,
ZAF,South Africa,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,43,,
OECD,OECD - Total,JE_EMPL,Employment rate,L,Value,TOT,Total,PC,Percentage,0,Units,,,67,,
AUS,Australia,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,80,,
AUT,Austria,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,85,,
BEL,Belgium,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,75,,
CAN,Canada,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,91,,
CZE,Czech Republic,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,93,,
DNK,Denmark,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,81,,
FIN,Finland,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,88,,
FRA,France,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,78,,
DEU,Germany,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,86,,
GRC,Greece,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
HUN,Hungary,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,83,,
ISL,Iceland,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,78,,
IRL,Ireland,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,80,,
ITA,Italy,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,60,,
JPN,Japan,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,94,E,Estimated value
KOR,Korea,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,87,,
LUX,Luxembourg,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,79,,
MEX,Mexico,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,37,,
NLD,Netherlands,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,77,,
NZL,New Zealand,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,77,,
NOR,Norway,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,82,,
POL,Poland,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,91,,
PRT,Portugal,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,47,,
SVK,Slovak Republic,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,92,,
ESP,Spain,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,58,,
SWE,Sweden,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,83,,
CHE,Switzerland,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,87,,
TUR,Turkey,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,39,,
GBR,United Kingdom,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,81,,
USA,United States,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,90,,
BRA,Brazil,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,49,,
CHL,Chile,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
EST,Estonia,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,89,,
ISR,Israel,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,87,,
LVA,Latvia,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,89,,
RUS,Russia,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,95,,
SVN,Slovenia,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,87,,
ZAF,South Africa,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,43,,
OECD,OECD - Total,ES_EDUA,Educational attainment,L,Value,TOT,Total,PC,Percentage,0,Units,,,74,,
AUS,Australia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,92,,
AUT,Austria,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,93,,
BEL,Belgium,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,84,,
CAN,Canada,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,91,,
CZE,Czech Republic,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,87,,
DNK,Denmark,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,94,,
FIN,Finland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,94,,
FRA,France,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,82,,
DEU,Germany,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,93,,
GRC,Greece,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
HUN,Hungary,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,76,,
ISL,Iceland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,99,,
IRL,Ireland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,82,,
ITA,Italy,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,71,,
JPN,Japan,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,86,,
KOR,Korea,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,78,,
LUX,Luxembourg,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,85,,
MEX,Mexico,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,67,,
NLD,Netherlands,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,93,,
NZL,New Zealand,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,90,,
NOR,Norway,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,96,,
POL,Poland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,80,,
PRT,Portugal,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,87,,
SVK,Slovak Republic,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,82,,
ESP,Spain,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,73,,
SWE,Sweden,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,95,,
CHE,Switzerland,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,96,,
TUR,Turkey,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,63,,
GBR,United Kingdom,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,85,,
USA,United States,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,84,,
BRA,Brazil,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
CHL,Chile,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
EST,Estonia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,82,,
ISR,Israel,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,67,,
LVA,Latvia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,77,,
RUS,Russia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,54,,
SVN,Slovenia,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,89,,
ZAF,South Africa,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
OECD,OECD - Total,EQ_WATER,Water quality,L,Value,TOT,Total,PC,Percentage,0,Units,,,81,,
AUS,Australia,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,91,,
AUT,Austria,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,75,,
BEL,Belgium,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,89,,
CAN,Canada,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,68,,
CZE,Czech Republic,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,59,,
DNK,Denmark,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,86,,
FIN,Finland,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
FRA,France,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,75,,
DEU,Germany,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
GRC,Greece,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,64,,
HUN,Hungary,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,62,,
ISL,Iceland,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,79,,
IRL,Ireland,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
ITA,Italy,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,75,,
JPN,Japan,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,53,,
KOR,Korea,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,77,,
LUX,Luxembourg,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,91,,
MEX,Mexico,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,63,,
NLD,Netherlands,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,82,,
NZL,New Zealand,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,77,,
NOR,Norway,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,78,,
POL,Poland,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,55,,
PRT,Portugal,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,56,,
SVK,Slovak Republic,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,60,,
ESP,Spain,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,70,,
SWE,Sweden,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,86,,
CHE,Switzerland,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,49,,
TUR,Turkey,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,85,,
GBR,United Kingdom,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
USA,United States,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,68,,
BRA,Brazil,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,79,,
CHL,Chile,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,49,,
EST,Estonia,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,64,,
ISR,Israel,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,72,,
LVA,Latvia,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,59,,
RUS,Russia,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,65,,
SVN,Slovenia,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,52,,
ZAF,South Africa,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,73,,
OECD,OECD - Total,CG_VOTO,Voter turnout,L,Value,TOT,Total,PC,Percentage,0,Units,,,69,,
AUS,Australia,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,13.2,,
AUT,Austria,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,6.78,,
BEL,Belgium,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,4.31,,
CAN,Canada,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.73,,
CZE,Czech Republic,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,5.77,,
DNK,Denmark,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,2.2,,
FIN,Finland,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.91,,
FRA,France,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,7.76,,
DEU,Germany,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,4.6,,
GRC,Greece,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,7.3,,
HUN,Hungary,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.05,,
ISL,Iceland,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,15.06,E,Estimated value
IRL,Ireland,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,4.66,,
ITA,Italy,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.9,,
JPN,Japan,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.81,E,Estimated value
KOR,Korea,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,20.84,E,Estimated value
LUX,Luxembourg,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.76,,
MEX,Mexico,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,29.48,,
NLD,Netherlands,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.45,,
NZL,New Zealand,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,15.02,,
NOR,Norway,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.17,,
POL,Poland,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,6.68,,
PRT,Portugal,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,8.2,,
SVK,Slovak Republic,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,5.04,,
ESP,Spain,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,4.55,,
SWE,Sweden,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.11,,
CHE,Switzerland,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,6.91,E,Estimated value
TUR,Turkey,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,33.77,,
GBR,United Kingdom,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,12.68,,
USA,United States,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,11.45,,
BRA,Brazil,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,7.15,,
CHL,Chile,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,10.06,,
EST,Estonia,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,2.69,,
ISR,Israel,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,15.04,,
LVA,Latvia,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,2.09,,
RUS,Russia,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.16,,
SVN,Slovenia,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,4.46,,
ZAF,South Africa,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,18.68,,
OECD,OECD - Total,WL_EWLH,Employees working very long hours,L,Value,TOT,Total,PC,Percentage,0,Units,,,12.62,,
